source: https://buecker.baseball.cbssports.com/stats/stats-main?print_rows=9999
captured: 2026-09-01T09:01:51
---
ACTION|AVAIL|PLAYER|AB|R|H|1B|2B|3B|HR|RBI|BB|K|SB|CS|AVG|OBP|SLG|RANK
Action|Avail|Player|AB|R|H|1B|2B|3B|HR|RBI|BB|K|SB|CS|AVG|OBP|SLG|Rank
29153548|2B|FA|Tommy Troy 2B,OF • ARI|11.7|1.8|3.1|2.0|0.6|0.1|0.3|1.4|1.0|2.5|0.3|0.1|.262|.323|.413|778
2044504|OF|FA|Max Kepler OF • ARI|13.9|2.1|3.4|2.1|0.8|0.1|0.4|1.7|1.3|3.0|0.2|0.0|.244|.311|.395|779
28837122|U|FA|Moises Ballesteros DH • LAA|14.8|1.8|3.5|2.3|0.7|0.0|0.5|2.0|1.4|3.8|0.1|0.0|.239|.310|.392|780
3157914|OF|FA|Kerry Carpenter OF • DET|8.7|1.4|2.4|1.4|0.4|0.1|0.5|1.6|0.6|2.0|0.1|0.0|.281|.336|.533|781
2932739|C|FA|Nick Fortes C • TB|14.8|1.8|3.7|2.6|0.6|0.0|0.5|1.9|0.6|2.9|0.0|0.0|.251|.293|.395|782
2171342|OF|FA|Tyler O'Neill OF • BAL|14.5|2.1|3.0|1.7|0.6|0.0|0.7|1.8|2.0|5.2|0.1|0.0|.204|.308|.383|783
26719697|C|FA|Joe Mack C • MIA|15.6|1.9|3.4|2.2|0.6|0.0|0.6|2.3|1.4|4.7|0.0|0.0|.216|.285|.375|784
2932975|OF|FA|Lars Nootbaar OF • ARI|15.0|2.4|3.8|2.3|1.0|0.2|0.3|1.3|2.1|3.5|0.1|0.1|.255|.349|.414|785
26723699|3B|FA|Brady House 3B • WAS|14.6|1.8|3.3|2.2|0.6|0.0|0.5|2.2|1.1|4.2|0.1|0.0|.229|.289|.370|786
2507195|OF|FA|Alex Call OF • LAD|13.4|2.0|3.4|2.3|0.8|0.1|0.3|1.9|2.0|3.0|0.2|0.1|.251|.357|.377|787
2804215|OF|FA|Myles Straw OF • TOR|11.7|1.8|3.1|1.9|0.8|0.1|0.2|1.3|1.1|1.9|0.4|0.1|.263|.328|.408|788
2829874|OF|FA|Gustavo Campero OF • LAA|12.0|1.5|2.9|2.0|0.5|0.1|0.4|1.6|1.0|3.3|0.4|0.1|.243|.306|.392|790
28841712|SS|FA|Jose Fernandez 3B,SS • ARI|11.6|1.6|3.0|2.0|0.6|0.0|0.3|1.6|1.1|2.5|0.3|0.1|.258|.329|.410|791
3158249|OF|FA|Isaac Collins OF • KC|15.7|1.9|3.7|2.2|0.9|0.2|0.3|1.8|1.7|3.7|0.3|0.2|.233|.317|.377|792
28837850|OF|FA|Troy Johnston 1B,OF • COL|14.8|1.5|3.9|2.6|0.9|0.1|0.3|1.8|1.3|3.6|0.2|0.1|.265|.330|.406|793
3107152|2B|FA|Daniel Schneemann 2B,3B,OF • CLE|15.3|1.7|3.5|2.3|0.7|0.0|0.4|1.6|1.3|4.4|0.4|0.2|.228|.292|.364|794
2829081|OF|FA|Christopher Morel OF • NYM|14.4|1.7|3.1|1.9|0.6|0.0|0.6|1.6|1.7|4.9|0.3|0.1|.213|.300|.377|796
2836688|U|FA|Luis Campusano C • SD|13.3|1.5|3.5|2.1|1.0|0.0|0.4|1.9|1.7|3.3|0.0|0.0|.265|.355|.434|797
2227767|C|FA|Yohel Pozo C • BAL|14.1|1.8|3.3|2.1|0.6|0.0|0.6|1.7|1.1|3.6|0.0|0.0|.235|.296|.402|798
2066300|SS|W (9/2)|J.P. Crawford 3B,SS • SEA|16.4|2.2|3.9|2.9|0.7|0.0|0.4|1.6|2.4|3.5|0.2|0.1|.241|.348|.353|799
26615356|SS|FA|Ezequiel Tovar SS • COL|17.8|1.9|3.9|2.4|1.0|0.1|0.5|1.8|1.0|5.3|0.2|0.1|.222|.265|.372|800
28841664|OF|FA|Jase Bowen OF • SD|11.7|1.5|2.9|1.9|0.5|0.1|0.3|1.5|1.1|2.9|0.4|0.1|.244|.313|.389|801
26913040|OF|FA|Gabriel Gonzalez OF • MIN|11.4|1.6|2.8|1.8|0.6|0.1|0.4|1.4|1.1|3.0|0.3|0.1|.247|.321|.418|802
26615386|OF|FA|John Rave OF • KC|11.7|1.6|2.8|1.7|0.6|0.1|0.4|1.2|1.1|3.0|0.4|0.1|.237|.305|.398|805
2431991|OF|FA|Lourdes Gurriel OF • ARI|13.9|1.6|3.5|2.4|0.7|0.0|0.3|1.9|1.0|2.3|0.2|0.1|.248|.298|.375|806
1745354|OF|FA|Randal Grichuk OF • CHW|12.3|1.5|3.0|1.7|0.8|0.1|0.5|1.8|0.8|3.0|0.1|0.0|.242|.291|.427|807
2119046|OF|FA|Mike Yastrzemski OF • ATL|15.3|1.9|3.4|2.1|0.7|0.1|0.5|1.6|1.6|4.5|0.2|0.0|.221|.300|.380|808
2046043|1B|FA|Patrick Wisdom 1B • SEA|14.1|1.5|3.1|1.9|0.6|0.1|0.6|1.9|1.4|3.8|0.1|0.0|.222|.297|.402|809
2167505|2B|FA|Edmundo Sosa 2B,3B,OF • PHI|16.9|1.8|3.8|2.7|0.6|0.2|0.3|2.1|0.5|4.2|0.2|0.0|.228|.266|.340|810
3157961|SS|FA|Osleivis Basabe 2B,SS • SF|11.4|1.5|2.9|1.9|0.6|0.1|0.3|1.3|0.8|2.6|0.3|0.1|.251|.307|.402|811
2837172|OF|FA|Austin Martin OF • MIN|11.4|1.7|2.9|1.9|0.8|0.0|0.2|1.1|1.4|2.5|0.5|0.3|.256|.344|.381|812
2837277|OF|FA|Dane Myers OF • CIN|14.8|1.7|3.2|2.3|0.5|0.0|0.4|1.2|1.7|4.6|0.6|0.1|.216|.303|.333|813
29153549|3B|FA|Matt Shaw 3B,OF • CHC|14.3|1.9|3.0|1.9|0.6|0.1|0.4|1.6|1.2|3.9|0.4|0.2|.209|.276|.347|814
26615382|OF|FA|Jorge Barrosa OF • ARI|11.5|1.8|2.8|1.6|0.8|0.1|0.3|1.5|1.2|2.6|0.2|0.0|.246|.319|.411|815
