source: https://buecker.baseball.cbssports.com/teams/roster-report/<team>/<period>/ (periods 1-20)
captured: 2026-08-08T11:23:20
---
Like a Nightmare|14|active|MI|Brice Turang 2B • MIL
Like a Nightmare|14|active|CI|Manny Machado 3B • SD
Like a Nightmare|14|active|OF|Byron Buxton OF • MIN
Like a Nightmare|14|active|OF|Jackson Merrill OF • SD
Like a Nightmare|14|active|OF|Ceddanne Rafaela 2B,OF • BOS
Like a Nightmare|14|active|OF|Chandler Simpson OF • TB
Like a Nightmare|14|active|U|Jazz Chisholm Jr. 2B,3B • NYY
Like a Nightmare|14|active|U|Taylor Ward OF • SEA
Like a Nightmare|14|bench|C|Ryan Jeffers C • MIN
Like a Nightmare|14|active|P|Braxton Ashcraft P • PIT
Like a Nightmare|14|active|P|Bryan Baker P • TB
Like a Nightmare|14|active|P|Shane Baz P • BAL
Like a Nightmare|14|active|P|David Bednar P • NYY
Like a Nightmare|14|active|P|Edward Cabrera P • CHC
Like a Nightmare|14|active|P|Reid Detmers P • LAA
Like a Nightmare|14|active|P|Pete Fairbanks P • MIA
Like a Nightmare|14|active|P|Griffin Jax P • TB
Like a Nightmare|14|active|P|Bryce Miller P • SEA
Like a Nightmare|14|active|P|Emmet Sheehan P • LAD
Like a Nightmare|14|bench|P|Yusei Kikuchi P • LAA
Like a Nightmare|14|bench|P|Noah Schultz P • CHW
Like a Nightmare|15|active|C|Alejandro Kirk C • TOR
Like a Nightmare|15|active|1B|Freddie Freeman 1B • LAD
Like a Nightmare|15|active|2B|Ketel Marte 2B • ARI
Like a Nightmare|15|active|3B|Manny Machado 3B • SD
Like a Nightmare|15|active|SS|Bobby Witt SS • KC
Like a Nightmare|15|active|MI|Brice Turang 2B • MIL
Like a Nightmare|15|active|CI|Miguel Vargas 1B,3B • CHW
Like a Nightmare|15|active|OF|Byron Buxton OF • MIN
Like a Nightmare|15|active|OF|Jackson Merrill OF • SD
Like a Nightmare|15|active|OF|Ceddanne Rafaela 2B,OF • BOS
Like a Nightmare|15|active|OF|Chandler Simpson OF • TB
Like a Nightmare|15|active|U|Jazz Chisholm Jr. 2B,3B • NYY
Like a Nightmare|15|active|OF|Taylor Ward OF • SEA
Like a Nightmare|15|bench|C|Ryan Jeffers C • MIN
Like a Nightmare|15|active|P|Braxton Ashcraft P • PIT
Like a Nightmare|15|active|P|Bryan Baker P • TB
Like a Nightmare|15|active|P|Shane Baz P • BAL
Like a Nightmare|15|active|P|David Bednar P • NYY
Like a Nightmare|15|active|P|Sean Burke P • CHW
Like a Nightmare|15|active|P|Reid Detmers P • LAA
Like a Nightmare|15|active|P|Griffin Jax P • TB
Like a Nightmare|15|active|P|Bryce Miller P • SEA
Like a Nightmare|15|active|P|Emmet Sheehan P • LAD
Like a Nightmare|15|active|P|Pete Fairbanks P • MIA
Like a Nightmare|15|bench|P|Edward Cabrera P • CHC
Like a Nightmare|15|bench|P|Yusei Kikuchi P • LAA
Like a Nightmare|15|bench|P|Noah Schultz P • CHW
Like a Nightmare|16|active|C|Alejandro Kirk C • TOR
Like a Nightmare|16|active|1B|Freddie Freeman 1B • LAD
Like a Nightmare|16|active|2B|Ketel Marte 2B • ARI
Like a Nightmare|16|active|3B|Manny Machado 3B • SD
Like a Nightmare|16|active|SS|Bobby Witt SS • KC
Like a Nightmare|16|active|MI|Brice Turang 2B • MIL
Like a Nightmare|16|active|CI|Miguel Vargas 1B,3B • CHW
Like a Nightmare|16|active|OF|Byron Buxton OF • MIN
Like a Nightmare|16|active|OF|Jackson Merrill OF • SD
Like a Nightmare|16|active|OF|Ceddanne Rafaela 2B,OF • BOS
Like a Nightmare|16|active|OF|Chandler Simpson OF • TB
Like a Nightmare|16|active|U|Jazz Chisholm Jr. 2B,3B • NYY
Like a Nightmare|16|bench|C|Ryan Jeffers C • MIN
Like a Nightmare|16|active|P|Braxton Ashcraft P • PIT
Like a Nightmare|16|active|P|Bryan Baker P • TB
Like a Nightmare|16|active|P|Shane Baz P • BAL
Like a Nightmare|16|active|P|Reid Detmers P • LAA
Like a Nightmare|16|active|P|Griffin Jax P • TB
Like a Nightmare|16|active|P|Bryce Miller P • SEA
Like a Nightmare|16|active|P|Landen Roupp P • SF
Like a Nightmare|16|active|P|Noah Schultz P • CHW
Like a Nightmare|16|active|P|Emmet Sheehan P • LAD
Like a Nightmare|16|active|P|David Bednar P • NYY
Like a Nightmare|16|active|P|Pete Fairbanks P • MIA
Like a Nightmare|16|bench|P|Edward Cabrera P • CHC
Like a Nightmare|16|bench|P|Yusei Kikuchi P • LAA
Like a Nightmare|17|active|C|Ryan Jeffers C • MIN
Like a Nightmare|17|active|1B|Freddie Freeman 1B • LAD
Like a Nightmare|17|active|2B|Ketel Marte 2B • ARI
Like a Nightmare|17|active|3B|Manny Machado 3B • SD
Like a Nightmare|17|active|SS|Bobby Witt SS • KC
Like a Nightmare|17|active|MI|Brice Turang 2B • MIL
Like a Nightmare|17|active|CI|Miguel Vargas 1B,3B • CHW
Like a Nightmare|17|active|OF|Wilyer Abreu OF • BOS
Like a Nightmare|17|active|OF|Jackson Merrill OF • SD
Like a Nightmare|17|active|OF|Ceddanne Rafaela 2B,OF • BOS
Like a Nightmare|17|active|OF|Chandler Simpson OF • TB
Like a Nightmare|17|active|U|Jazz Chisholm Jr. 2B,3B • NYY
Like a Nightmare|17|bench|OF|Byron Buxton OF • MIN
Like a Nightmare|17|active|P|Braxton Ashcraft P • PIT
Like a Nightmare|17|active|P|Bryan Baker P • TB
Like a Nightmare|17|active|P|David Bednar P • NYY
Like a Nightmare|17|active|P|Clayton Beeter P • WAS
Like a Nightmare|17|active|P|Shane Bieber P • TOR
Like a Nightmare|17|active|P|Reid Detmers P • LAA
Like a Nightmare|17|active|P|Pete Fairbanks P • MIA
Like a Nightmare|17|active|P|Griffin Jax P • TB
Like a Nightmare|17|active|P|Jared Jones P • PIT
Like a Nightmare|17|active|P|Bryce Miller P • SEA
Like a Nightmare|17|active|P|Emmet Sheehan P • LAD
Like a Nightmare|17|bench|P|Edward Cabrera P • CHC
Like a Nightmare|17|bench|P|Yusei Kikuchi P • LAA
Like a Nightmare|18|active|C|Ryan Jeffers C • MIN
Like a Nightmare|18|active|1B|Freddie Freeman 1B • LAD
Like a Nightmare|18|active|2B|Ketel Marte 2B • ARI
Like a Nightmare|18|active|3B|Manny Machado 3B • SD
Like a Nightmare|18|active|SS|Bobby Witt SS • KC
Like a Nightmare|18|active|MI|Brice Turang 2B • MIL
Like a Nightmare|18|active|CI|Miguel Vargas 1B,3B • CHW
Like a Nightmare|18|active|OF|Wilyer Abreu OF • BOS
Like a Nightmare|18|active|OF|Byron Buxton OF • MIN
Like a Nightmare|18|active|OF|Jackson Merrill OF • SD
