=== Period 1 (Wed, Mar 25 - Sun, Mar 29) ===
Rank|Team|Batting|Pitching|Total|Dif|Behind
Trex|6|3.5|-7.5
Long Balls|6|3.5|0.0
Guillotine|6|3.5|0.0
Gashouse Gang|6|3.5|-6.0
Rieken Havoc|5|1.0|-6.5
Team|OBP|Pts|Dif
Magnum GI|.4021|13.0|7.0
Young Guns|.3679|12.0|7.0
Runtime Terror|.3421|11.0|2.0
Gashouse Gang|.3333|10.0|8.0
Dawg|.3308|9.0|-3.0
Trex|.3275|8.0|0.0
Big Sticks|.3188|7.0|-3.0
Long Balls|.3142|6.0|-1.0
Simba's Dublin Green Sox|.3123|5.0|4.0
Maga Doge|.2963|4.0|0.0
Rieken Havoc|.2828|3.0|-10.0
Guillotine|.2814|2.0|-9.0
Like a Nightmare|.2509|1.0|-2.0
Team|R|Pts|Dif
Young Guns|50|13.0|6.0
Magnum GI|44|12.0|4.0
Trex|39|11.0|5.0
Runtime Terror|36|10.0|-1.0
Guillotine|35|8.5|4.0
Gashouse Gang|35|8.5|-1.0
Maga Doge|33|7.0|2.5
Big Sticks|32|6.0|-3.5
Dawg|31|5.0|-7.0
Like a Nightmare|29|4.0|2.0
Long Balls|28|3.0|0.0
Rieken Havoc|24|2.0|-11.0
Simba's Dublin Green Sox|21|1.0|0.0
Team|RBI|Pts|Dif
Magnum GI|43|13.0|6.0
Young Guns|39|11.5|4.5
Runtime Terror|39|11.5|-0.5
Gashouse Gang|38|10.0|0.5
Maga Doge|33|9.0|4.0
Simba's Dublin Green Sox|32|8.0|5.0
Trex|31|7.0|-6.0
Big Sticks|29|5.5|-1.5
Like a Nightmare|29|5.5|4.5
Guillotine|26|4.0|2.0
Rieken Havoc|24|2.5|-8.5
Dawg|24|2.5|-1.5
Long Balls|21|1.0|-8.5
Team|SB|Pts|Dif
Rieken Havoc|7|13.0|8.5
Runtime Terror|6|11.5|10.0
Maga Doge|6|11.5|7.0
Magnum GI|5|9.5|-1.5
Trex|5|9.5|1.5
Long Balls|4|6.0|1.5
Simba's Dublin Green Sox|4|6.0|-2.0
Dawg|4|6.0|-5.0
Guillotine|4|6.0|-5.0
Gashouse Gang|4|6.0|-2.0
Big Sticks|3|3.0|-10.0
Young Guns|2|1.5|-3.0
Like a Nightmare|2|1.5|0.0
Team|ERA|Pts|Dif
Long Balls|2.238|13.0|4.0
Rieken Havoc|2.348|12.0|5.0
Simba's Dublin Green Sox|2.454|11.0|5.0
Magnum GI|2.682|10.0|0.0
Trex|2.730|9.0|6.0
Guillotine|3.028|8.0|-4.0
Dawg|3.115|7.0|2.0
Young Guns|3.477|6.0|5.0
Like a Nightmare|3.767|5.0|3.0
Big Sticks|3.965|4.0|-7.0
Maga Doge|4.821|3.0|-5.0
Runtime Terror|5.008|2.0|-11.0
Gashouse Gang|5.400|1.0|-3.0
Team|K|Pts|Dif
Long Balls|82|13.0|4.0
Trex|57|12.0|9.5
Magnum GI|53|11.0|4.0
Big Sticks|50|10.0|-1.5
Young Guns|48|9.0|8.0
Dawg|47|8.0|-2.0
Rieken Havoc|46|7.0|1.0
Runtime Terror|45|6.0|3.5
Simba's Dublin Green Sox|43|4.5|-7.0
Like a Nightmare|43|4.5|-0.5
Maga Doge|40|3.0|-10.0
Guillotine|38|1.5|-6.5
Gashouse Gang|38|1.5|-2.5
Team|S|Pts|Dif
Simba's Dublin Green Sox|4|13.0|1.0
Magnum GI|3|11.5|9.0
Long Balls|3|11.5|4.5
Trex|2|7.0|0.0
Rieken Havoc|2|7.0|0.0
Dawg|2|7.0|-5.0
Maga Doge|2|7.0|-5.0
Like a Nightmare|2|7.0|-3.0
Guillotine|2|7.0|4.5
Gashouse Gang|2|7.0|0.0
Young Guns|1|2.0|-0.5
Runtime Terror|1|2.0|-5.0
Big Sticks|1|2.0|-0.5
Team|WHIP|Pts|Dif
Magnum GI|0.8742|13.0|3.0
Rieken Havoc|1.0217|12.0|5.0
Guillotine|1.0935|11.0|0.0
Long Balls|1.0939|10.0|-3.0
Dawg|1.1077|9.0|-3.0
Young Guns|1.1364|7.5|6.5
Simba's Dublin Green Sox|1.1364|7.5|4.5
Big Sticks|1.1538|6.0|0.0
Like a Nightmare|1.2093|5.0|0.0
Maga Doge|1.2321|4.0|-4.0
Trex|1.2472|3.0|-1.0
Runtime Terror|1.3548|2.0|-7.0
Gashouse Gang|1.5000|1.0|-1.0
Team|WQS|Pts|Dif
Magnum GI|9|12.0|1.0
Rieken Havoc|9|12.0|-0.5
Big Sticks|9|12.0|8.0
Trex|7|9.0|1.5
Long Balls|7|9.0|1.5
Like a Nightmare|7|9.0|1.5
Simba's Dublin Green Sox|6|7.0|4.0
Dawg|5|6.0|-1.5
Young Guns|4|4.5|3.0
Gashouse Gang|4|4.5|-3.0
Maga Doge|3|3.0|-9.5
Runtime Terror|2|1.5|-6.0
Guillotine|2|1.5|0.0

=== Period 3 (Mon, Apr 06 - Sun, Apr 12) ===
Rank|Team|Batting|Pitching|Total|Dif|Behind
1|Maga Doge|50.0|50.0|100.0|29.0|0.0
2|Big Sticks|47.5|41.5|89.0|5.5|11.0
3|Guillotine|39.5|48.0|87.5|35.5|12.5
4|Dawg|52.0|32.0|84.0|-1.5|16.0
5|Simba's Dublin Green Sox|39.5|35.5|75.0|20.5|25.0
6|Young Guns|47.0|26.5|73.5|15.5|26.5
7|Gashouse Gang|35.0|38.0|73.0|21.0|27.0
8|Like a Nightmare|31.5|40.0|71.5|27.5|28.5
9|Magnum GI|11.0|56.5|67.5|-44.5|32.5
10|Runtime Terror|39.5|27.0|66.5|2.5|33.5
11|Rieken Havoc|26.0|30.0|56.0|-24.5|44.0
12|Long Balls|23.0|14.0|37.0|-38.5|63.0
13|Trex|13.5|16.0|29.5|-48.0|70.5
