source: https://buecker.baseball.cbssports.com/stats/stats-main/fa:P/period-22:p/standard/projections?print_rows=9999
captured: 2026-08-22T20:24:42
---
ACTION|AVAIL|PLAYER|INNS|APP|GS|QS|CG|W|L|S|BS|HD|K|BB|H|ERA|WHIP|RANK
Action|Avail|Player|INNs|APP|GS|QS|CG|W|L|S|BS|HD|K|BB|H|ERA|WHIP|Rank
2731490|P|FA|Tommy Nance P • MIN|2.0|1.3|0.0|0.0|0.0|0.0|0.1|0.0|0.0|0.2|1.6|0.6|1.4|2.35|0.96|295
2822697|P|FA|Matt Festa P • CLE|2.0|1.7|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.3|1.7|0.5|1.6|3.20|1.04|297
29660108|P|FA|Didier Fuentes P • ATL|2.1|2.5|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.9|3.7|0.8|2.6|4.29|1.46|298
2836849|P|FA|Jeremiah Estrada P • SD|2.0|2.4|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.9|3.0|1.0|1.5|3.68|1.25|299
2822254|P|FA|Enmanuel De Jesus P • DET|2.2|1.9|0.0|0.0|0.0|0.2|0.0|0.0|0.0|0.3|2.5|1.0|2.4|3.85|1.25|300
29320531|P|FA|Yuki Matsui P • SD|2.0|2.1|0.0|0.0|0.0|0.1|0.0|0.0|0.0|0.3|2.2|1.2|1.4|3.16|1.32|301
2898211|P|FA|Seranthony Dominguez P • SEA|2.0|1.7|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.3|1.9|0.9|1.2|3.31|1.09|303
2159842|P|FA|Tayron Guerrero P • BOS|2.0|2.0|0.0|0.0|0.0|0.0|0.1|0.0|0.0|1.0|2.0|0.2|1.7|2.94|0.98|304
29632883|P|FA|Tomoyuki Sugano P • COL|10.2|2.0|2.0|0.7|0.0|0.7|0.8|0.0|0.0|0.0|6.5|3.0|11.8|5.37|1.38|306
29084414|P|FA|Bradley Hanner P • NYY|2.0|1.5|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.3|1.5|0.5|1.4|3.23|0.94|307
2826036|P|FA|Gregory Soto P • PIT|2.0|2.4|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.6|2.3|0.8|1.6|3.67|1.22|308
2914673|P|FA|Trevor Richards P • CHW|2.0|1.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.1|1.4|0.5|1.2|2.69|0.88|312
2826050|P|FA|Gabe Speier P • SEA|2.0|2.3|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.9|2.1|0.7|1.5|3.02|1.09|314
2821660|P|FA|Huascar Brazoban P • CHW|2.2|2.6|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.7|3.1|1.5|2.5|4.16|1.49|316
2118910|P|FA|Sam Moll P • CIN|2.1|2.3|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.3|2.0|1.0|1.6|3.47|1.09|318
26615415|P|FA|Ryan Zeferjahn P • CHC|2.0|2.1|0.0|0.0|0.0|0.2|0.1|0.0|0.0|0.6|3.0|1.3|1.5|4.47|1.41|320
28869467|P|FA|Peter Strzelecki P • STL|2.0|1.1|0.0|0.0|0.0|0.1|0.1|0.0|0.0|0.2|0.8|0.5|1.2|2.67|0.86|321
